Dio No.,Diocese Name,Total giving,Tax recovered,Legacies,Grants,Fundraising income,Trading income,Investment income,Statutory fees retained by PCC,Other income,Total income,,
1,Bath & Wells,"13,671","2,615","2,365","2,868","1,476","1,126","1,098","2,875","2,311","30,405",,
2,Birmingham,"8,566","1,593",850,"2,263",534,"1,346",555,"2,803","2,458","20,968",,
3,Blackburn,"10,403","1,938","1,327","2,343","1,205",946,"1,064","1,818","1,524","22,567",,
5,Bristol,"9,742","1,759",736,"2,173",694,"1,084",425,"2,998","1,132","20,746",,
6,Canterbury,"8,429","1,566","1,569","1,223","1,221",812,697,"1,414","1,014","17,945",,
7,Carlisle,"5,912","1,100","1,090","1,385",617,667,653,662,619,"12,707",,
8,Chelmsford,"18,328","3,196","3,350","4,442","2,438","3,097","1,254","7,092","1,811","45,008",,
9,Chester,"15,185","2,999","1,905","1,899","1,196","1,367","1,512","3,085","2,391","31,539",,
10,Chichester,"21,938","3,759","4,171","3,700","1,896","2,705","1,200","4,128","2,001","45,498",,
11,Coventry,"7,335","1,433","2,102","2,821",590,902,728,"1,967",393,"18,271",,
12,Derby,"6,608","1,236",853,984,818,747,847,"1,160",842,"14,094",,
13,Durham,"5,910","1,160",610,"2,596",701,514,727,"1,326",489,"14,032",,
14,Ely,"10,502","1,842",733,"1,928",902,"1,119",631,"1,989",930,"20,575",,
15,Exeter,"12,618","2,239","1,884","3,070","1,528","1,613","1,206","1,874","1,151","27,183",,
16,Gloucester,"10,346","1,797","1,818","1,499",882,926,928,941,"1,314","20,451",,
17,Guildford,"19,892","3,725","1,804","2,172",976,"2,015",789,"4,782",737,"36,892",,
18,Hereford,"4,514",805,413,"1,281","1,037",556,696,340,494,"10,135",,
19,Leicester,"6,302","1,236",733,"1,299",908,753,543,"1,375",876,"14,025",,
20,Lichfield,"12,110","2,111","1,719","2,439","1,672","1,292","1,903","2,182",716,"26,143",,
21,Lincoln,"6,099","1,096","2,490","2,730","1,472","1,281",955,"1,325","1,511","18,958",,
22,Liverpool,"8,538","1,470","1,716","2,155",776,807,966,"2,807",742,"19,976",,
23,London,"58,232","8,681","5,548","17,141","4,604","11,666",991,"27,371","5,438","139,674",,
24,Manchester,"9,158","1,750",648,"1,964","1,204",936,718,"2,378","1,022","19,780",,
25,Newcastle,"5,186",971,683,"1,061",661,386,407,"1,002",432,"10,790",,
26,Norwich,"9,026","1,651","2,299","2,806","1,546",727,"1,095","1,380","1,141","21,671",,
27,Oxford,"35,659","6,509","4,538","6,702","2,678","4,219","2,057","4,677","2,055","69,094",,
28,Peterborough,"8,083","1,530","1,247","1,256","1,314","1,236",705,855,765,"16,991",,
29,Portsmouth,"6,078","1,004",751,"1,903",782,675,459,"2,334",628,"14,615",,
31,Rochester,"14,267","2,622","1,477","1,376","1,267","2,131",834,"4,138","1,322","29,433",,
32,St.Albans,"16,643","3,322","1,408","3,066","2,272","2,234","1,146","3,113","1,689","34,893",,
33,St.Edmundsbury & Ipswich,"8,097","1,528","1,364","2,179","1,380",919,829,"1,292","1,183","18,772",,
34,Salisbury,"14,396","2,492","1,884","3,075","1,987","1,595","1,211","1,905","1,754","30,298",,
35,Sheffield,"8,710","1,533",323,"1,791",568,617,814,"1,602",538,"16,497",,
36,Sodor and Man,816,,84,59,228,162,56,95,114,"1,615",,
37,Southwark,"27,615","4,931","2,680","4,277","1,458","5,344",743,"11,050","4,417","62,516",,
38,Southwell & Nottingham,"8,531","1,569",459,"2,282",702,858,693,"1,845",720,"17,660",,
39,Truro,"4,212",802,825,995,613,655,617,618,557,"9,894",,
41,Winchester,"13,776","2,684","1,817","2,075","1,353","1,292",801,"3,112","1,912","28,822",,
42,Worcester,"6,078","1,058","2,195","3,382",696,890,790,990,708,"16,788",,
43,York,"11,146","1,993","2,524","3,120","1,585","1,208","1,214","1,751","1,149","25,690",,
46,Leeds,"17,329","3,161","2,243","3,568","2,153","1,634","1,468","4,187","1,835","37,578",,
